PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
111,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,TRANSLATED,ORIGINAL,TRANSLATED,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,I don't know,Some college but no degree,Arts and Humanities,,Female,,1988,"Lafayette, LA",Yes,,Five or above,Somewhat agree,Somewhat agree
112,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,I don't know,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,I don't know,ORIGINAL,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,Customer Service ,Female,,1992,"Springfield, MO",Yes,I have never used assistance services when traveling,One,Strongly disagree,Somewhat agree
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,TRANSLATED,,,TRANSLATED,TRANSLATED,ORIGINAL,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1997,"Sacramento, CA",Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,,TRANSLATED,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,Master's degree,Arts and Humanities,,Male,,1990,"Brooklyn, New York",Yes,I have never used assistance services when traveling,Two,Somewhat disagree,Neither agree nor disagree
115,,ORIGINAL,,TRANSLATED,,,NONE,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,NONE,,,,,I don't know,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1974,washington state,Yes,Five or above,Five or above,Somewhat agree,Somewhat agree
116,NONE,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,,,,I don't know,,ORIGINAL,ORIGINAL,ORIGINAL,NONE,TRANSLATED,,,ORIGINAL,,ORIGINAL,NONE,,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than high school degree,Other:,N/A,Female,,1981,Clementon NJ ,No,I don't travel,I have never interacted with chatbots,Neither agree nor disagree,Disagree
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,I don't know,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1998,"Greenville, NC",Yes,Two,Five or above,Disagree,Somewhat disagree
118,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,TRANSLATED,,ORIGINAL,TRANSLATED,,,TRANSLATED,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,,,I don't know,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1988,"Portland, Oregon",Yes,,I have never interacted with chatbots,Strongly disagree,Disagree
119,,,ORIGINAL,TRANSLATED,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Female,,1986,"Durham, NC",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Disagree,Neither agree nor disagree
120,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,I don't know,,TRANSLATED,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,I don't know,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Other:,Religion,Male,,1955,Washington/United States,Yes,Five or above,Five or above,Agree,Agree
121,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,,,,I don't know,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,,,I don't know,Some college but no degree,Other:,Insurance,Male,,1988,"Kansas City, Missouri",Yes,I have never used assistance services when traveling,Five or above,Strongly disagree,Strongly disagree
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,Master's degree,STEM,,Male,,1994,Washington D.C.,Yes,One,Three,Somewhat agree,Agree
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,,,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,Some college but no degree,Other:,Food and beverage,Female,,1989,Harrisburg Pennsylvania ,Yes,I have never used assistance services when traveling,,Somewhat agree,Somewhat agree
124,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Other:,Information Technology,Male,,1962,"Pico Rivera, Calif",Yes,Five or above,Five or above,Somewhat agree,Somewhat disagree
125,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,,TRANSLATED,TRANSLATED,,TRANSLATED,,,,TRANSLATED,I don't know,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,ORIGINAL,,TRANSLATED,,TRANSLATED,,I don't know,TRANSLATED,,TRANSLATED,,,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,TRANSLATED,TRANSLATED,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),Other:,NA,Female,,1988,"Flora, IL",Yes,I have never used assistance services when traveling,One,Somewhat agree,Somewhat agree
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,,,TRANSLATED,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,TRANSLATED,,,TRANSLATED,TRANSLATED,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Male,,1969,"Traverse City, Michigan",Yes,One,Five or above,Disagree,Neither agree nor disagree
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,TRANSLATED,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,TRANSLATED,TRANSLATED,,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Male,,1968,"San Jose, CA",Yes,I have never used assistance services when traveling,Three,Neither agree nor disagree,Neither agree nor disagree
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,,,TRANSLATED,,ORIGINAL,,,,,TRANSLATED,I don't know,Associate degree in college (2-year),STEM,,Male,,1974,"Maine, USA",Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Somewhat agree
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,TRANSLATED,,,TRANSLATED,,ORIGINAL,,TRANSLATED,TRANSLATED,,,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,I don't know,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,NONE,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,Financial Services,Male,,1953,"Prescott, Arizona, USA",Yes,I have never used assistance services when traveling,Five or above,Strongly disagree,Neither agree nor disagree
130,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,NONE,,,,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,I don't know,,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,ORIGINAL,,TRANSLATED,,I don't know,Associate degree in college (2-year),Health and Biological Sciences,,Female,,1981,"arma,kansas",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Agree,Neither agree nor disagree
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,,NONE,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1964,"Tomahawk, WI",Yes,I have never used assistance services when traveling,Five or above,Agree,Neither agree nor disagree
132,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,,TRANSLATED,,,I don't know,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Professional degree (JD, MD)",Health and Biological Sciences,,Male,,1994,"Springfield, Missouri",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Neither agree nor disagree,Neither agree nor disagree
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Male,,1972,MI,Yes,Two,Five or above,Agree,Agree
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),Other:,Construction,Male,,1966,"Hahira, GA",Yes,I have never used assistance services when traveling,Three,Somewhat agree,Somewhat agree
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,High school graduate (high school diploma or equivalent including GED),Other:,,Female,,1965,Amelia Ohio,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Somewhat agree
